Name,title,abstract
"WULFF, Heike",Blocking KCa3.1 Channels Increases Tumor Cell Killing by a Subpopulation of Human Natural Killer Lymphocytes,"Natural killer (NK) cells are large granular lymphocytes that participate in both innate and adaptive immune responses against tumors and pathogens. They are also involved in other conditions, including organ rejection, graft-versus-host disease, recurrent spontaneous abortions, and autoimmune diseases such as multiple sclerosis. We demonstrate that human NK cells express the potassium channels Kv1.3 and KCa3.1. Expression of these channels does not vary with expression levels of maturation markers but varies between adherent and non-adherent NK cell subpopulations. Upon activation by mitogens or tumor cells, adherent NK (A-NK) cells preferentially up-regulate KCa3.1 and non-adherent (NA-NK) cells preferentially up-regulate Kv1.3. Consistent with this different phenotype, A-NK and NA-NK do not display the same sensitivity to the selective KCa3.1 blockers TRAM-34 and NS6180 and to the selective Kv1.3 blockers ShK-186 and PAP-1 in functional assays. Kv1.3 block inhibits the proliferation and degranulation of NA-NK cells with minimal effects on A-NK cells. In contrast, blocking KCa3.1 increases the degranulation and cytotoxicity of A-NK cells, but not of NA-NK cells. TRAM-34, however, does not affect their ability to form conjugates with target tumor cells, to migrate, or to express chemokine receptors. TRAM-34 and NS6180 also increase the proliferation of both A-NK and NA-NK cells. This results in a TRAM-34-induced increased ability of A-NK cells to reduce in vivo tumor growth. Taken together, our results suggest that targeting KCa3.1 on NK cells with selective blockers may be beneficial in cancer immunotherapy."
"CADENASSO, Mary L",Object-based land cover classification of shaded areas in high spatial resolution imagery of urban areas: A comparison study,
"MAZET, Jonna A",Using Molecular Epidemiology to Track Toxoplasma gondii from Terrestrial Carnivores to Marine Hosts: Implications for Public Health and Conservation,"BackgroundEnvironmental transmission of the zoonotic parasite Toxoplasma gondii, which is shed only by felids, poses risks to human and animal health in temperate and tropical ecosystems. Atypical T. gondii genotypes have been linked to severe disease in people and the threatened population of California sea otters. To investigate land-to-sea parasite transmission, we screened 373 carnivores (feral domestic cats, mountain lions, bobcats, foxes, and coyotes) for T. gondii infection and examined the distribution of genotypes in 85 infected animals sampled near the sea otter range.Methodology/principal findingsNested PCR-RFLP analyses and direct DNA sequencing at six independent polymorphic genetic loci (B1, SAG1, SAG3, GRA6, L358, and Apico) were used to characterize T. gondii strains in infected animals. Strains consistent with Type X, a novel genotype previously identified in over 70% of infected sea otters and four terrestrial wild carnivores along the California coast, were detected in all sampled species, including domestic cats. However, odds of Type X infection were 14 times higher (95% CI: 1.3-148.6) for wild felids than feral domestic cats. Type X infection was also linked to undeveloped lands (OR = 22, 95% CI: 2.3-250.7). A spatial cluster of terrestrial Type II infection (P = 0.04) was identified in developed lands bordering an area of increased risk for sea otter Type II infection. Two spatial clusters of animals infected with strains consistent with Type X (P â‰¤ 0.01) were detected in less developed landscapes.ConclusionsDifferences in T. gondii genotype prevalence among domestic and wild felids, as well as the spatial distribution of genotypes, suggest co-existing domestic and wild T. gondii transmission cycles that likely overlap at the interface of developed and undeveloped lands. Anthropogenic development driving contact between these cycles may increase atypical T. gondii genotypes in domestic cats and facilitate transmission of potentially more pathogenic genotypes to humans, domestic animals, and wildlife."
"BOUNDY-MILLS, Kyria L",<i>Cyniclomyces</i> van der Walt & DB Scott (1971),
"HARTIGAN-O'CONNOR, Dennis J",Breast-fed and bottle-fed infant rhesus macaques develop distinct gut microbiotas and immune systems,"Diet has a strong influence on the intestinal microbiota in both humans and animal models. It is well established that microbial colonization is required for normal development of the immune system and that specific microbial constituents prompt the differentiation or expansion of certain immune cell subsets. Nonetheless, it has been unclear how profoundly diet might shape the primate immune system or how durable the influence might be. We show that breast-fed and bottle-fed infant rhesus macaques develop markedly different immune systems, which remain different 6 months after weaning when the animals begin receiving identical diets. In particular, breast-fed infants develop robust populations of memory T cells as well as T helper 17 (TH17) cells within the memory pool, whereas bottle-fed infants do not. These findings may partly explain the variation in human susceptibility to conditions with an immune basis, as well as the variable protection against certain infectious diseases."
"WAN, Yu-Jui Yvonne",All-trans retinoic acid regulates hepatic bile acid homeostasis,"Retinoic acid (RA) and bile acids share common roles in regulating lipid homeostasis and insulin sensitivity. In addition, the receptor for RA (retinoid x receptor) is a permissive partner of the receptor for bile acids, farnesoid x receptor (FXR/NR1H4). Thus, RA can activate the FXR-mediated pathway as well. The current study was designed to understand the effect of all-trans RA on bile acid homeostasis. Mice were fed an all-trans RA-supplemented diet and the expression of 46 genes that participate in regulating bile acid homeostasis was studied. The data showed that all-trans RA has a profound effect in regulating genes involved in synthesis and transport of bile acids. All-trans RA treatment reduced the gene expression levels of Cyp7a1, Cyp8b1, and Akr1d1, which are involved in bile acid synthesis. All-trans RA also decreased the hepatic mRNA levels of Lrh-1 (Nr5a2) and Hnf4Î± (Nr2a1), which positively regulate the gene expression of Cyp7a1 and Cyp8b1. Moreover, all-trans RA induced the gene expression levels of negative regulators of bile acid synthesis including hepatic Fgfr4, Fxr, and Shp (Nr0b2) as well as ileal Fgf15. All-trans RA also decreased the expression of Abcb11 and Slc51b, which have a role in bile acid transport. Consistently, all-trans RA reduced hepatic bile acid levels and the ratio of CA/CDCA, as demonstrated by liquid chromatography-mass spectrometry. The data suggest that all-trans RA-induced SHP may contribute to the inhibition of CYP7A1 and CYP8B1, which in turn reduces bile acid synthesis and affects lipid absorption in the gastrointestinal tract."
"SUTCLIFFE, Julie L",Targeted In vivo Imaging of Integrin Î±vÎ²6 with an Improved Radiotracer and Its Relevance in a Pancreatic Tumor Model,
"HUNTER, Neil",Temporally and Biochemically Distinct Activities of Exo1 during Meiosis: Double-Strand Break Resection and Resolution of Double Holliday Junctions,
"MCPHERSON, John D","A Radiation Hybrid Map of Human Chromosome 5 with Integration of Cytogenetic, Genetic, and Transcriptâ€‰Maps",
"MCPHERSON, John D",The Generation and Regional Localization of 303 New Chromosome 5 Sequence-Tagged Sites,
"TUCKER, Cassandra B",Dairy cows use and prefer feed bunks fitted with sprinklers,
"GROSHOLZ, Edwin D",Poised to prosper? A crossâ€system comparison of climate change effects on native and nonâ€native species performance,
"KIRK, James D",Standardized Reporting Criteria for Studies Evaluating Suspected Acute Heart Failure Syndromes in the Emergency Department,
"DECHANT, Julie E",Heterologous Antigen Selection of Camelid Heavy Chain Single Domain Antibodies against Tetrabromobisphenol A,"Tetrabromobisphenol A (TBBPA) is a ubiquitous flame retardant. A high-throughput immunoassay would allow for monitoring of human and environmental exposures as a part of risk assessment. Naturally occurring antibodies in camelids that are devoid of light chain, show great promise as an efficient tool in monitoring environmental contaminants, but they have been rarely used for small molecules. An alpaca was immunized with a TBBPA hapten coupled to thyroglobulin and a variable domain of heavy chain antibody (VHH) T3-15 highly selective for TBBPA was isolated from a phage displayed VHH library using heterologous coating antigens. Compared to the VHHs isolated using homologous antigens, VHH T3-15 had about a 10-fold improvement in sensitivity in an immunoassay. This assay, under the optimized conditions of 10% methanol in the assay buffer (pH 7.4), had an IC50 for TBBPA of 0.40 ng mL(-1) and negligible cross reactivity (<0.1%) with other tested analogues. After heating the VHH at 90 Â°C for 90 min about 20% of the affinity for coating antigen T3-BSA remained. The recoveries of TBBPA from spiked soil and fetal bovine serum samples ranged from 90.3% to 110.7% by ELISA and agreed well with a liquid chromatography-tandem mass spectrometry method. We conclude the many advantages of VHH make them attractive for the development of immunoassays to small molecules."
"BENNETT, Alan B",Out of the Amazon: Theobroma cacao enters the genomic era,
"VAN ROMPAY, Koen K",Sequential emergence and clinical implications of viral mutants with K70E and K65R mutation in reverse transcriptase during prolonged tenofovir monotherapy in rhesus macaques with chronic RT-SHIV infection,"BackgroundWe reported previously on the emergence and clinical implications of simian immunodeficiency virus (SIVmac251) mutants with a K65R mutation in reverse transcriptase (RT), and the role of CD8+ cell-mediated immune responses in suppressing viremia during tenofovir therapy. Because of significant sequence differences between SIV and HIV-1 RT that affect drug susceptibilities and mutational patterns, it is unclear to what extent findings with SIV can be extrapolated to HIV-1 RT. Accordingly, to model HIV-1 RT responses, 12 macaques were inoculated with RT-SHIV, a chimeric SIV containing HIV-1 RT, and started on prolonged tenofovir therapy 5 months later.ResultsThe early virologic response to tenofovir correlated with baseline viral RNA levels and expression of the MHC class I allele Mamu-A*01. For all animals, sensitive real-time PCR assays detected the transient emergence of K70E RT mutants within 4 weeks of therapy, which were then replaced by K65R mutants within 12 weeks of therapy. For most animals, the occurrence of these mutations preceded a partial rebound of plasma viremia to levels that remained on average 10-fold below baseline values. One animal eventually suppressed K65R viremia to undetectable levels for more than 4 years; sequential experiments using CD8+ cell depletion and tenofovir interruption demonstrated that both CD8+ cells and continued tenofovir therapy were required for sustained suppression of viremia.ConclusionThis is the first evidence that tenofovir therapy can select directly for K70E viral mutants in vivo. The observations on the clinical implications of the K65R RT-SHIV mutants were consistent with those of SIVmac251, and suggest that for persons infected with K65R HIV-1 both immune-mediated and drug-dependent antiviral activities play a role in controlling viremia. These findings suggest also that even in the presence of K65R virus, continuation of tenofovir treatment as part of HAART may be beneficial, particularly when assisted by antiviral immune responses."
"ROGAWSKI, Michael A",Advances in the Application of Technology to Epilepsy: The CIMIT/NIO Epilepsy Innovation Summit,
"SEXTON, Richard J",Grocery-Retailer Pricing Behavior with Implications for Farmer Welfare,
"LI, Chai-Fei",Glycosylation regulates turnover of cyclooxygenaseâ€2,
"BOONE, John M",A preliminary investigation of reduced-view image reconstruction from low dose breast CT data,
"DECARLI, Charles",The EADCâ€ADNI Harmonized Protocol for manual hippocampal segmentation on magnetic resonance: Evidence of validity,"BackgroundAn international Delphi panel has defined a harmonized protocol (HarP) for the manual segmentation of the hippocampus on MR. The aim of this study is to study the concurrent validity of the HarP toward local protocols, and its major sources of variance.MethodsFourteen tracers segmented 10 Alzheimer's Disease Neuroimaging Initiative (ADNI) cases scanned at 1.5 T and 3T following local protocols, qualified for segmentation based on the HarP through a standard web-platform and resegmented following the HarP. The five most accurate tracers followed the HarP to segment 15 ADNI cases acquired at three time points on both 1.5 T and 3T.ResultsThe agreement among tracers was relatively low with the local protocols (absolute left/right ICC 0.44/0.43) and much higher with the HarP (absolute left/right ICC 0.88/0.89). On the larger set of 15 cases, the HarP agreement within (left/right ICC range: 0.94/0.95 to 0.99/0.99) and among tracers (left/right ICC range: 0.89/0.90) was very high. The volume variance due to different tracers was 0.9% of the total, comparing favorably to variance due to scanner manufacturer (1.2), atrophy rates (3.5), hemispheric asymmetry (3.7), field strength (4.4), and significantly smaller than the variance due to atrophy (33.5%, P < .001), and physiological variability (49.2%, P < .001).ConclusionsThe HarP has high measurement stability compared with local segmentation protocols, and good reproducibility within and among human tracers. Hippocampi segmented with the HarP can be used as a reference for the qualification of human tracers and automated segmentation algorithms."
"IZUMIYA, Yoshihiro",Protein Arginine Methyltransferase 1-directed Methylation of Kaposi Sarcoma-associated Herpesvirus Latency-associated Nuclear Antigen*,
"ROGAWSKI, Michael A",Future directions for epilepsy research,
"DECARLI, Charles",Predictors of Brain Morphology for the Men of the NHLBI Twin Study,
"CREININ, Mitchell D",Racial variation in tubal sterilization rates: role of patient-level factors,
"KOLNER, Brian H",Characterization of the Complex Noise Transfer Function of a Modelocked Ti:Sapphire Laser,
"TELL, Lisa A","EVIDENCE FOR CRYPTIC SPECIATION OF LEUCOCYTOZOON SPP. (HAEMOSPORIDA, LEUCOCYTOZOIDAE) IN DIURNAL RAPTORS",
"VAN DE WATER, Judith A","Cultured fibroblasts in avian scleroderma, an autoimmune fibrotic disease, display an activated phenotype",
"LASALLE, Janine M",Long-lived epigenetic interactions between perinatal PBDE exposure and Mecp2308 mutation,
"KASS, Philip H",Surgical versus non-surgical treatment of feline small intestinal adenocarcinoma and the influence of metastasis on long-term survival in 18 cats (2000-2007).,
"KORF, Ian",Strain- and plasmid-level deconvolution of a synthetic metagenome by sequencing proximity ligation products.,"Metagenomics is a valuable tool for the study of microbial communities but has been limited by the difficulty of ""binning"" the resulting sequences into groups corresponding to the individual species and strains that constitute the community. Moreover, there are presently no methods to track the flow of mobile DNA elements such as plasmids through communities or to determine which of these are co-localized within the same cell. We address these limitations by applying Hi-C, a technology originally designed for the study of three-dimensional genome structure in eukaryotes, to measure the cellular co-localization of DNA sequences. We leveraged Hi-C data generated from a simple synthetic metagenome sample to accurately cluster metagenome assembly contigs into groups that contain nearly complete genomes of each species. The Hi-C data also reliably associated plasmids with the chromosomes of their host and with each other. We further demonstrated that Hi-C data provides a long-range signal of strain-specific genotypes, indicating such data may be useful for high-resolution genotyping of microbial populations. Our work demonstrates that Hi-C sequencing data provide valuable information for metagenome analyses that are not currently obtainable by other methods. This metagenomic Hi-C method could facilitate future studies of the fine-scale population structure of microbes, as well as studies of how antibiotic resistance plasmids (or other genetic elements) mobilize in microbial communities. The method is not limited to microbiology; the genetic architecture of other heterogeneous populations of cells could also be studied with this technique."
"SPRINGBORN, Michael R",Pathwayâ€level risk analysis: the net present value of an invasive species policy in the US,
"HAMMOCK, Bruce",Sorafenib attenuates p21 in kidney cancer cells and augments cell death in combination with DNA-damaging chemotherapy,
"KUHL, Tonya L",Determining the density profile of confined polymer brushes with neutron reflectivity,
"CHUAH, Chen-Nee",Joint server/peer receiver-driven rate-distortion optimized video streaming using asynchronous clocks,
"BORNHORST, Gail M",Gastric Digestion In Vivo and In Vitro: How the Structural Aspects of Food Influence the Digestion Process,
"KOWALCZYKOWSKI, Stephen C",Interaction of Escherichia coli RecA Protein with LexA Repressor I. LexA REPRESSOR CLEAVAGE IS COMPETITIVE WITH BINDING OF A SECONDARY DNA MOLECULE*,
"BUTANI, Lavjay",The Ped-APS Registry: the antiphospholipid syndrome in childhood,
"CHEN, Ching-Hsien",Targeting myristoylated alanine-rich C kinase substrate phosphorylation site domain in lung cancer. Mechanisms and therapeutic implications.,"Phosphorylation of myristoylated alanine-rich C kinase substrate (phospho-MARCKS) at the phosphorylation site domain (PSD) is crucial for mucus granule secretion and cell motility, but little is known concerning its function in lung cancer.We aimed to determine if MARCKS PSD activity can serve as a therapeutic target and to elucidate the molecular basis of this potential.The clinical relevance of phospho-MARCKS was first confirmed. Next, we used genetic approaches to verify the functionality and molecular mechanism of phospho-MARCKS. Finally, cancer cells were pharmacologically inhibited for MARCKS activity and subjected to functional bioassays.We demonstrated that higher phospho-MARCKS levels were correlated with shorter overall survival of lung cancer patients. Using shRNA silencing and ectopic expression of wild-type and PSD-mutated (S159/163A) MARCKS, we showed that elevated phospho-MARCKS promoted cancer growth and erlotinib resistance. Further studies demonstrated an interaction of phosphoinositide 3-kinase with MARCKS, but not with phospho-MARCKS. Interestingly, phospho-MARCKS acted in parallel with increased phosphatidylinositol (3,4,5)-triphosphate pools and AKT activation in cells. Through treatment with a 25-mer peptide targeting the MARCKS PSD motif (MPS peptide), we were able to suppress tumor growth and metastasis in vivo, and reduced levels of phospho-MARCKS, phosphatidylinositol (3,4,5)-triphosphate, and AKT activity. This peptide also enhanced the sensitivity of lung cancer cells to erlotinib treatment, especially those with sustained activation of phosphoinositide 3-kinase/AKT signaling.These results suggest a key role for MARCKS PSD in cancer disease and provide a unique strategy for inhibiting the activity of MARCKS PSD as a treatment for lung cancer."
"HEYER, Wolf D",The Mus81-Mms4 structure-selective endonuclease requires nicked DNA junctions to undergo conformational changes and bend its DNA substrates for cleavage,"Mus81-Mms4/EME1 is a DNA structure-selective endonuclease that cleaves joint DNA molecules that form during homologous recombination in mitotic and meiotic cells. Here, we demonstrate by kinetic analysis using physically tethered DNA substrates that budding yeast Mus81-Mms4 requires inherent rotational flexibility in DNA junctions for optimal catalysis. FÃ¶rster Resonance Energy Transfer experiments further reveal that recognition of 3'-flap and nicked Holliday junction substrates by Mus81-Mms4 involves induction of a sharp bend with a 100Â° angle between two duplex DNA arms. In addition, thiol crosslinking of Mus81-Mms4 bound to DNA junctions demonstrates that the heterodimer undergoes a conformational change induced by joint DNA molecules with preferred structural properties. The results from all three approaches suggest a model for catalysis by Mus81-Mms4 in which initial DNA binding is based on minimal structural requirements followed by a rate-limiting conformational transition of the substrate and protein. This leads to a sharply kinked DNA molecule that may fray the DNA four base pairs away from the junction point to position the nuclease for cleavage between the fourth and fifth nucleotide. These data suggest that mutually compatible conformational changes of Mus81-Mms4 and its substrates tailor its incision activity to nicked junction molecules."
"ZHANG, Jin",Glycogen synthase kinase 3 promotes p53 mRNA translation via phosphorylation of RNPC1,"The RNPC1 RNA-binding protein, also called Rbm38, is a target of p53 and a repressor of p53 mRNA translation. Thus, the p53-RNPC1 loop is critical for modulating p53 tumor suppression, but it is not clear how the loop is regulated. Here, we showed that RNPC1 is phosphorylated at Ser195 by glycogen synthase kinase 3 (GSK3). We also showed that GSK3 promotes p53 mRNA translation through phosphorylation of RNPC1. Interestingly, we found that the phosphor-mimetic mutant S195D and the deletion mutant Î”189-204, which lacks the GSK3 phosphorylation site, are unable to repress p53 mRNA translation due to loss of interaction with eukaryotic translation factor eIF4E on p53 mRNA. Additionally, we found that phosphorylated RNPC1, RNPC1-S195D, and RNPC1(Î”189-204) promote p53 mRNA translation through interaction with eukaryotic translation factor eIF4G, which then facilitates the assembly of the eIF4F complex on p53 mRNA. Furthermore, we showed that upon inhibition of the phosphatidylinositol 3-kinase (PI3K)-Akt pathway, GSK3 is activated, leading to increased RNPC1 phosphorylation and increased p53 expression in a RNPC1-dependent manner. Together, we postulate that the p53-RNPC1 loop can be explored to increase or decrease p53 activity for cancer therapy."
"CANTER, Robert J",Perioperative radiotherapy is associated with improved survival among patients with synovial sarcoma: A SEER analysis,"Â© 2014 Wiley Periodicals, Inc. Background and Methods: We examined the outcomes of synovial sarcoma (SS) patients in a national database. We identified 1,189 patients from the Surveillance, Epidemiology, and End Results (SEER) database with data on site and extent of surgery. We excluded patients diagnosed before 1990, &#60;18 years, or lacking pathologic confirmation. Using Kaplan-Meier and Cox proportional hazards analyses, we determined predictors of overall (OS) and disease-specific survival (DSS). Results: The mean age was 41, 49.3% were female, and 82.2% were white. Radiotherapy (RT) was administered to 57.5%. On multivariable analysis, age at diagnosis, sex, race, anatomic site, SEER summary stage, tumor size, surgery type, and RT predicted OS. Similar predictors of DSS were identified. The hazard ratio (HR) for OS was 0.65 (95% CI 0.48-0.88) in favor of RT and 0.62 (95% CI 0.45-0.86) for DSS. Five-year OS improved 8.4Â±1.0% with RT (P=0.003), and five-year DSS improved 7.7Â±1.0% with RT (P=0.015). Conclusions: In the largest study to date examining the role of RT in synovial sarcoma, we observed that RT was associated with a statistically significant improvement in oncologic outcome among SS patients. These data support the use of RT in the multi-modality treatment of patients with SS."
"LARGIER, John L",Fluorescence: Absorption coefficient ratio â€” Tracing photochemical and microbial degradation processes affecting coloured dissolved organic matter in a coastal system,
"ZIMMERMANN, Lara L",Focal amyotrophy in multiple sclerosis,
"JONES, Tucker A",Multiple images of a highly magnified supernova formed by an early-type cluster galaxy lens,"In 1964, Refsdal hypothesized that a supernova whose light traversed multiple paths around a strong gravitational lens could be used to measure the rate of cosmic expansion. We report the discovery of such a system. In Hubble Space Telescope imaging, we have found four images of a single supernova forming an Einstein cross configuration around a redshift z = 0.54 elliptical galaxy in the MACS J1149.6+2223 cluster. The cluster's gravitational potential also creates multiple images of the z = 1.49 spiral supernova host galaxy, and a future appearance of the supernova elsewhere in the cluster field is expected. The magnifications and staggered arrivals of the supernova images probe the cosmic expansion rate, as well as the distribution of matter in the galaxy and cluster lenses."
"KIM, Jaehwan",Definitions and outcome measures for mucous membrane pemphigoid: Recommendations ofÂ anÂ international panel of experts,
"VOSS, John",Membrane Protein Expression using Cell-Free Technologies in Support of Structural Biology,
"BROOKS, Rebecca A",The Role of Neoadjuvant Chemotherapy in the Management of Patients With Advanced Stage Ovarian Cancer: Survey Results From Members of the Society of Gynecologic Oncologists,
"MITCHELL, Alyson E","Comment on Comparison of the Total Phenolic and Ascorbic Acid Content of Freeze-Dried and Air-Dried Marionberry, Strawberry, and Corn Grown Using Conventional, Organic, and Sustainable Agricultural Practices",
"LASALLE, Janine M",Mice with an isoform-ablating Mecp2 exon 1 mutation recapitulate the neurologic deficits of Rett syndrome,"Mutations in MECP2 cause the neurodevelopmental disorder Rett syndrome (RTT OMIM 312750). Alternative inclusion of MECP2/Mecp2 exon 1 with exons 3 and 4 encodes MeCP2-e1 or MeCP2-e2 protein isoforms with unique amino termini. While most MECP2 mutations are located in exons 3 and 4 thus affecting both isoforms, MECP2 exon 1 mutations but not exon 2 mutations have been identified in RTT patients, suggesting that MeCP2-e1 deficiency is sufficient to cause RTT. As expected, genetic deletion of Mecp2 exons 3 and/or 4 recapitulates RTT-like neurologic defects in mice. However, Mecp2 exon 2 knockout mice have normal neurologic function. Here, a naturally occurring MECP2 exon 1 mutation is recapitulated in a mouse model by genetic engineering. A point mutation in the translational start codon of Mecp2 exon 1, transmitted through the germline, ablates MeCP2-e1 translation while preserving MeCP2-e2 production in mouse brain. The resulting MeCP2-e1 deficient mice developed forelimb stereotypy, hindlimb clasping, excessive grooming and hypo-activity prior to death between 7 and 31 weeks. MeCP2-e1 deficient mice also exhibited abnormal anxiety, sociability and ambulation. Despite MeCP2-e1 and MeCP2-e2 sharing, 96% amino acid identity, differences were identified. A fraction of phosphorylated MeCP2-e1 differed from the bulk of MeCP2 in subnuclear localization and co-factor interaction. Furthermore, MeCP2-e1 exhibited enhanced stability compared with MeCP2-e2 in neurons. Therefore, MeCP2-e1 deficient mice implicate MeCP2-e1 as the sole contributor to RTT with non-redundant functions."
"BOWLUS, Christopher",UNOCCUPIED RENAL ESTRADIOL-RECEPTOR CONCENTRATION DIFFERS IN MALE AND FEMALE RATS,
"WAN, Yu-Jui Yvonne",Loss of heterozygosity on chromosome 11 in sporadic gastrinomas,
"KIM, Kyu H","Darryl E. Flaherty. Public Law, Private Practice: Politics, Profit, and the Legal Profession in Nineteenth-Century Japan.",
"SWEENEY, Colleen A",Mitochondrial MKP1 Is a Target for Therapy-Resistant HER2-Positive Breast Cancer Cells,"The MAPK phosphatase MKP1 (DUSP1) is overexpressed in many human cancers, including chemoresistant and radioresistant breast cancer cells, but its functional contributions in these settings are unclear. Here, we report that after cell irradiation, MKP1 translocates into mitochondria, where it prevents apoptotic induction by limiting accumulation of phosphorylated active forms of the stress kinase JNK. Increased levels of mitochondrial MKP1 after irradiation occurred in the mitochondrial inner membrane space. Notably, cell survival regulated by mitochondrial MKP1 was responsible for conferring radioresistance in HER2-overexpressing breast cancer cells, due to the fact that MKP1 serves as a major downstream effector in the HER2-activated RAF-MEK-ERK pathway. Clinically, we documented MKP1 expression exclusively in HER2-positive breast tumors, relative to normal adjacent tissue from the same patients. MKP1 overexpression was also detected in irradiated HER2-positive breast cancer stem-like cells (HER2(+)/CD44(+)/CD24(-/low)) isolated from a radioresistant breast cancer cell population after long-term radiation treatment. MKP1 silencing reduced clonogenic survival and enhanced radiosensitivity in these stem-like cells. Combined inhibition of MKP1 and HER2 enhanced cell killing in breast cancer. Together, our findings identify a new mechanism of resistance in breast tumors and reveal MKP1 as a novel therapeutic target for radiosensitization."
"COLLINS, Sean R",Orm family proteins mediate sphingolipid homeostasis,
"MCELRONE, Andrew J",Direct X-Ray Microtomography Observation Confirms the Induction of Embolism upon Xylem Cutting under Tension,
"BENNETT, Brian J",Transmission of atherosclerosis susceptibility with gut microbial transplantation.,"Recent studies indicate both clinical and mechanistic links between atherosclerotic heart disease and intestinal microbial metabolism of certain dietary nutrients producing trimethylamine N-oxide (TMAO). Here we test the hypothesis that gut microbial transplantation can transmit choline diet-induced TMAO production and atherosclerosis susceptibility. First, a strong association was noted between atherosclerotic plaque and plasma TMAO levels in a mouse diversity panel (n = 22 strains, r = 0.38; p = 0.0001). An atherosclerosis-prone and high TMAO-producing strain, C57BL/6J, and an atherosclerosis-resistant and low TMAO-producing strain, NZW/LacJ, were selected as donors for cecal microbial transplantation into apolipoprotein e null mice in which resident intestinal microbes were first suppressed with antibiotics. Trimethylamine (TMA) and TMAO levels were initially higher in recipients on choline diet that received cecal microbes from C57BL/6J inbred mice; however, durability of choline diet-dependent differences in TMA/TMAO levels was not maintained to the end of the study. Mice receiving C57BL/6J cecal microbes demonstrated choline diet-dependent enhancement in atherosclerotic plaque burden as compared with recipients of NZW/LacJ microbes. Microbial DNA analyses in feces and cecum revealed transplantation of donor microbial community features into recipients with differences in taxa proportions between donor strains that were transmissible to recipients and that tended to show coincident proportions with TMAO levels. Proportions of specific taxa were also identified that correlated with plasma TMAO levels in donors and recipients and with atherosclerotic lesion area in recipients. Atherosclerosis susceptibility may be transmitted via transplantation of gut microbiota. Gut microbes may thus represent a novel therapeutic target for modulating atherosclerosis susceptibility."
"HAGERMAN, Randi J",Influence of the fragile X mental retardation (FMR1) gene on the brain and working memory in men with normal FMR1 alleles,
"HAGERMAN, Paul J",Influence of the fragile X mental retardation (FMR1) gene on the brain and working memory in men with normal FMR1 alleles,
"COX, Timothy",Erratum to: Search for new physics in events with same-sign dileptons and jets in pp collisions at s = 8 TeV,
"POTTER, Daniel",Phylogenetic Analysis of the SSU rRNA from Members of the Chrysophyceae,
"NARDO, Lorenzo",A reference database of cartilage 3&nbsp;T MRI T2 values in knees without diagnostic evidence of cartilage degeneration: data from the osteoarthritis initiative,"Objective1) To establish a gender- and BMI-specific reference database of cartilage T2 values, and 2) to assess the associations between cartilage T2 values and gender, age, and BMI in knees without radiographic osteoarthritis or MRI-based (WORMS 0/1) evidence of cartilage degeneration.Design481 subjects aged 45-65 years with Kellgren-Lawrence Scores 0/1 in the study knee were selected. Baseline morphologic cartilage 3T MRI readings (WORMS scoring) and T2 measurements (resolution = 0.313 mm Ã— 0.446 mm) were performed in the medial and lateral femurs, medial and lateral tibias, and patella compartments. To create a reference database, a logarithmic transformation was applied to the data to obtain the 5th-95th percentile values for T2.ResultsSignificant differences in mean cartilage T2 values were observed between joint compartments. Although females had slightly higher T2 values than males in a majority of compartments, the differences were only significant in the medial femur (P < 0.0001). A weak positive association was seen between age and T2 in all compartments, most pronounced in the patella (3.27% increase in median T2/10 years, P = 0.009). Significant associations between BMI and T2 were observed, most pronounced in the lateral tibia (5.33% increase in median T2/5 kg/m(2) increase in BMI, P < 0.0001), and medial tibia (4.81% increase in median T2 /5 kg/m(2) increase in BMI, P < 0.0001).ConclusionsThis study established the first reference database of T2 values in a large sample of morphologically normal cartilage plates in knees without radiographic knee osteoarthritis (OA). While cartilage T2 values were weakly associated with age and gender, they had the highest correlations with BMI."
"YU, Hai",Improved one-pot multienzyme (OPME) systems for synthesizing UDP-uronic acids and glucuronides.,"Arabidopsis thaliana glucuronokinase (AtGlcAK) was cloned and shown to be able to use various uronic acids as substrates to produce the corresponding uronic acid-1-phosphates. AtGlcAK or Bifidobacterium infantis galactokinase (BiGalK) was used with a UDP-sugar pyrophosphorylase, an inorganic pyrophosphatase, with or without a glycosyltransferase for highly efficient synthesis of UDP-uronic acids and glucuronides. These improved cost-effective one-pot multienzyme (OPME) systems avoid the use of nicotinamide adenine dinucleotide (NAD(+))-cofactor in dehydrogenase-dependent UDP-glucuronic acid production processes and can be broadly applied for synthesizing various glucuronic acid-containing molecules."
